n_factors,n_epochs,lr_all,reg_all,val_rmse
150,20,0.02,0.1,0.8582534109865456
150,50,0.01,0.1,0.8603635253793966
100,20,0.02,0.1,0.8606967056836866
150,50,0.02,0.1,0.8608809713949043
20,20,0.02,0.1,0.8612078250844216
50,20,0.02,0.1,0.8615427768856712
100,50,0.01,0.1,0.8626139152915069
150,100,0.01,0.1,0.8630760304136001
150,100,0.005,0.1,0.8633333793835118
20,50,0.01,0.1,0.8634741845967849
100,50,0.02,0.1,0.8635310724820295
50,50,0.01,0.1,0.8639708362440552
150,100,0.02,0.1,0.8647590945657803
150,20,0.01,0.1,0.8650628606771626
100,100,0.005,0.1,0.8654864290122208
100,100,0.01,0.1,0.8655519209933259
150,20,0.02,0.2,0.866112410308772
150,50,0.005,0.1,0.8662865291594927
100,20,0.01,0.1,0.8663034126733583
100,100,0.02,0.1,0.8665357694888765
20,20,0.01,0.1,0.8665743169362803
50,50,0.02,0.1,0.8666033450426671
20,100,0.005,0.1,0.8666367509625025
50,20,0.01,0.1,0.8666633479013521
150,20,0.02,0.05,0.8668521201538075
150,50,0.02,0.2,0.8668846371964911
20,50,0.02,0.1,0.8669413157078578
100,20,0.02,0.2,0.8669517589354797
50,100,0.005,0.1,0.8670256228124918
20,20,0.02,0.2,0.8672338054046946
50,20,0.02,0.2,0.867284831893408
20,20,0.01,0.05,0.8673772435235951
100,50,0.005,0.1,0.8676681878191369
150,50,0.01,0.2,0.8678727464292156
100,50,0.02,0.2,0.8680022446405414
150,100,0.02,0.2,0.8684909278198817
50,50,0.005,0.1,0.8685798180329964
150,100,0.01,0.2,0.8687025717861045
20,50,0.005,0.1,0.8687064120637449
100,50,0.01,0.2,0.8687788872854066
150,50,0.02,0.05,0.8688422258496328
50,100,0.01,0.1,0.8688547072206805
20,50,0.02,0.2,0.8689770950385806
150,50,0.01,0.05,0.8689851535045816
50,50,0.02,0.2,0.8690140791589148
50,20,0.01,0.05,0.8691369696781533
150,20,0.01,0.05,0.869153047307982
100,100,0.02,0.2,0.8691878666257913
150,20,0.01,0.2,0.8692210387987798
20,100,0.01,0.1,0.8693502322802391
50,50,0.01,0.2,0.8693850404971913
20,20,0.01,0.2,0.8693889967303923
20,50,0.01,0.2,0.8694087053946644
50,20,0.01,0.2,0.8695288231232882
100,20,0.01,0.2,0.8696334688567794
100,100,0.01,0.2,0.8697542934857045
100,20,0.01,0.05,0.8699463458258861
50,100,0.02,0.2,0.8700892028381138
20,100,0.02,0.2,0.8701807421770495
50,100,0.02,0.1,0.8704454924122998
150,100,0.01,0.05,0.8705942383356552
50,100,0.01,0.2,0.8707315226561662
20,100,0.01,0.2,0.870741475429465
150,100,0.005,0.2,0.8711778694845005
100,20,0.02,0.05,0.8714306066980472
150,100,0.005,0.05,0.8714365182884554
150,50,0.005,0.05,0.8715717881459057
150,50,0.005,0.2,0.8719206587523708
150,100,0.02,0.05,0.8719898250525421
100,100,0.005,0.2,0.8720756170759308
100,50,0.005,0.2,0.872378204594113
20,50,0.005,0.2,0.8723797663461764
20,50,0.005,0.05,0.872412569482964
50,50,0.005,0.2,0.872459314793036
50,100,0.005,0.2,0.8727600774252351
150,100,0.002,0.1,0.8728141541748251
20,100,0.005,0.2,0.8728658236010162
100,50,0.005,0.05,0.8734915655552327
100,100,0.002,0.1,0.8739356232345958
20,100,0.02,0.1,0.8740143525531441
50,50,0.005,0.05,0.8740523328652229
100,50,0.01,0.05,0.8741891603808811
100,50,0.02,0.05,0.8745965204552187
20,20,0.005,0.05,0.8747924692718818
50,100,0.002,0.1,0.8748736777075959
20,20,0.02,0.05,0.874922054845349
20,20,0.005,0.1,0.8750416685770342
20,100,0.002,0.1,0.8750615334596417
50,20,0.005,0.1,0.8754119966403177
150,20,0.005,0.1,0.8754564448246358
50,20,0.02,0.05,0.8756967476051833
150,100,0.002,0.05,0.8757107508418406
20,100,0.002,0.05,0.8757731441140485
50,20,0.005,0.05,0.8758025329772213
100,20,0.005,0.1,0.875894470106024
100,100,0.01,0.05,0.8761144716403698
20,20,0.005,0.02,0.8761844419157108
100,100,0.02,0.05,0.8762194669607891
100,100,0.005,0.05,0.8766406718452268
100,20,0.005,0.05,0.8766743689711021
100,100,0.002,0.05,0.8767742068016905
150,20,0.005,0.05,0.8767949587229775
50,100,0.002,0.05,0.877036396312019
20,20,0.005,0.2,0.8773331278970534
50,20,0.005,0.2,0.877517579329329
150,100,0.002,0.2,0.8775753748090256
150,20,0.005,0.2,0.8776434254030272
20,100,0.002,0.2,0.8778501695407394
100,20,0.005,0.2,0.8778678537602368
100,100,0.002,0.2,0.8779208537848937
50,100,0.002,0.2,0.8779351131426967
50,20,0.005,0.02,0.8793569864661152
20,50,0.002,0.05,0.8798447166158886
20,50,0.002,0.1,0.8800994775118508
150,50,0.002,0.1,0.8803420241900624
50,50,0.002,0.1,0.8804463437740734
100,50,0.002,0.1,0.8807701108208451
150,100,0.02,0.02,0.8808136009021235
50,50,0.002,0.05,0.8808247578808434
20,20,0.01,0.02,0.880881742863188
20,50,0.002,0.02,0.8812886088115728
100,50,0.002,0.05,0.8813604983363602
150,50,0.002,0.05,0.8813989499651737
150,50,0.02,0.02,0.8814427446173608
50,50,0.01,0.05,0.8817602113335024
20,50,0.002,0.2,0.8823673932064869
100,20,0.005,0.02,0.8823749342350478
50,50,0.002,0.2,0.882544885460159
150,50,0.002,0.2,0.8826535829609501
100,50,0.002,0.2,0.8828476486519292
20,50,0.01,0.05,0.8836003110025691
150,100,0.01,0.02,0.8839959850501913
50,100,0.005,0.05,0.8843797040675194
50,50,0.002,0.02,0.88450887025573
150,20,0.005,0.02,0.884809299217401
20,100,0.005,0.05,0.8866620198457497
50,20,0.01,0.02,0.8870210367487863
100,50,0.002,0.02,0.8870394473793259
150,20,0.02,0.02,0.8877600146776011
50,50,0.02,0.05,0.8878218993114496
150,50,0.01,0.02,0.8878408553125234
150,20,0.01,0.02,0.8880538165241922
150,50,0.002,0.02,0.8891246714704194
50,100,0.01,0.05,0.8894095091371557
100,20,0.01,0.02,0.8894305047952032
20,100,0.002,0.02,0.889683581030971
150,100,0.005,0.02,0.8901101134617463
50,100,0.02,0.05,0.8902426551835535
100,100,0.02,0.02,0.8906340973497048
20,20,0.002,0.05,0.8907826505250408
20,20,0.002,0.02,0.8908574859709998
20,20,0.002,0.1,0.8913737597239226
150,50,0.005,0.02,0.8917510633125486
50,20,0.002,0.05,0.8918348094653584
50,20,0.002,0.1,0.8919676161537888
